0,1,0,4,1
1,2,8,2,8
2,5,0,0,2
3,1,3,4,3
4,2,2,8,3
5,9,1,3,0
6,8,5,1,4
7,5,1,9,5
8,7,0,8,7
9,4,3,7,6
10,2,3,6,5
11,7,1,7,6
12,9,8,6,8
13,6,2,2,6
14,8,8,9,3
15,1,2,9,3
16,1,8,6,2
17,3,3,3,9
18,0,2,6,3
19,7,8,8,0
20,6,1,2,7
21,3,0,9,5
22,3,2,7,3
23,6,0,6,4
24,4,5,1,2
25,4,3,7,6
26,8,7,8,6
27,3,4,8,7
28,7,2,7,5
29,9,7,8,4
30,4,3,5,5
31,7,1,8,6
32,8,4,7,4
33,8,9,0,8
34,3,5,1,5
35,6,6,0,7
36,4,2,2,3
37,2,3,2,6
38,0,8,0,8
39,7,2,7,4
40,8,6,8,6
41,4,7,2,9
42,0,0,5,9
43,5,1,2,4
44,2,6,3,6
45,0,3,4,3
46,5,2,3,0
47,4,9,0,7
48,8,2,7,8
49,6,0,0,1
50,9,4,6,3
51,8,1,6,4
52,4,3,6,6
53,6,1,5,2
54,0,1,2,1
55,6,0,6,0
56,5,9,2,9
57,2,1,3,8
58,9,3,5,5
59,5,5,9,6
60,7,9,8,4
61,9,5,4,9
62,5,1,3,1
63,7,8,2,0
64,5,6,2,7
65,8,4,7,6
66,6,4,7,1
67,4,6,0,4
68,0,5,0,7
69,7,0,4,6
70,2,6,2,9
71,8,1,9,8
72,2,9,5,9
73,6,0,1,9
74,0,6,2,0
75,5,7,1,5
76,4,7,5,3
77,8,5,6,6
78,0,2,8,9
79,6,4,2,0
80,5,8,0,0
81,7,3,5,1
82,5,6,7,1
83,8,4,9,2
84,5,8,2,2
85,8,6,6,6
86,9,9,8,3
87,2,2,2,0
88,5,8,7,4
89,9,4,0,6
90,5,9,0,6
91,5,8,6,2
92,0,8,3,6
93,6,4,2,4
94,4,6,8,6
95,3,0,8,9
96,4,5,3,2
97,7,6,9,8
98,5,0,1,2
99,1,1,5,8
100,2,9,7,4
101,4,5,2,7
102,8,3,3,9
103,7,7,9,8
104,2,0,1,0
105,1,2,6,9
106,1,0,8,7
107,0,9,7,5
