0,7,9,4,4
1,1,6,8,4
2,6,7,0,6
3,5,8,7,9
4,2,7,6,2
5,0,4,3,2
6,6,5,5,0
7,3,9,0,9
8,9,4,1,7
9,1,0,4,9
10,1,9,8,4
11,7,5,0,8
12,1,3,1,0
13,3,0,9,7
14,7,1,5,4
15,6,0,8,2
16,1,4,7,5
17,4,5,3,1
18,7,5,8,8
19,3,2,2,3
20,4,4,4,8
21,4,8,1,4
22,7,0,1,8
23,0,3,3,3
24,1,5,9,3
25,1,0,4,7
26,5,9,4,3
27,7,4,3,6
28,1,1,2,3
29,3,3,3,5
30,2,3,6,0
31,5,7,9,2
32,4,8,1,2
33,6,6,7,5
34,2,5,4,3
35,3,4,2,3
36,8,0,3,9
37,0,2,8,5
38,4,7,7,4
39,3,1,8,9
40,3,7,9,6
41,7,7,3,6
42,9,3,9,7
43,3,9,1,0
44,2,8,3,9
45,4,2,3,1
46,3,6,5,6
47,5,3,8,2
48,7,4,4,9
49,0,5,7,4
50,2,6,0,0
51,3,6,8,9
52,3,8,9,9
53,3,1,3,7
54,1,2,9,3
55,2,0,8,8
56,0,4,7,7
57,1,4,5,0
58,3,1,9,9
59,8,3,2,0
60,7,0,2,2
61,2,6,0,3
62,1,8,1,6
63,7,3,8,8
64,8,5,4,8
65,8,6,9,6
66,3,5,4,9
67,3,7,4,8
68,3,8,8,1
69,5,2,7,0
70,3,6,1,7
71,5,3,5,0
72,8,4,3,1
73,4,4,8,9
74,1,4,0,0
75,2,8,6,5
76,8,1,0,0
77,3,1,8,0
78,8,6,0,4
79,4,1,9,2
80,6,6,0,9
81,9,3,1,1
82,5,1,8,4
83,5,4,8,5
84,8,6,9,4
85,1,8,4,1
86,9,9,0,3
87,7,8,9,0
88,4,6,3,5
89,7,2,1,9
90,8,0,3,9
91,2,8,1,7
92,1,4,4,9
93,6,2,0,9
94,8,3,6,7
95,0,3,5,7
96,2,1,6,7
97,0,9,9,7
98,5,7,5,9
99,0,4,8,3
100,4,5,0,3
101,2,6,6,9
102,8,1,2,9
103,5,6,1,8
104,3,9,4,2
105,3,2,5,0
106,5,9,4,1
107,1,3,1,7
108,0,1,7,9
109,7,3,1,4
110,9,6,9,2
111,0,6,0,4
112,2,1,7,5
113,6,9,9,0
114,7,3,3,1
115,7,4,1,1
116,2,1,8,5
117,6,5,8,7
